Update Time,Daily PV Yield (kWh)
2/8/2025 0:00,76.4
2/8/2025 6:45,0
2/8/2025 6:50,0.1
2/8/2025 6:55,0.1
2/8/2025 7:00,0.1
2/8/2025 7:05,0.2
2/8/2025 7:10,0.2
2/8/2025 7:15,0.3
2/8/2025 7:20,0.4
2/8/2025 7:25,0.5
2/8/2025 7:30,0.6
2/8/2025 7:35,0.7
2/8/2025 7:40,0.630728199
2/8/2025 7:45,0.9
2/8/2025 7:50,1
2/8/2025 7:55,1.1
2/8/2025 8:00,1.3
2/8/2025 8:05,1.4
2/8/2025 8:10,1.5
2/8/2025 8:15,1.491473025
2/8/2025 8:20,1.9
2/8/2025 8:25,2.1
2/8/2025 8:30,2.3
2/8/2025 8:35,2.5
2/8/2025 8:40,2.8
2/8/2025 8:45,3
2/8/2025 8:50,3.3
2/8/2025 8:55,3.183712342
2/8/2025 9:00,3.9
2/8/2025 9:05,4.3
2/8/2025 9:10,4.7
2/8/2025 9:15,5.2
2/8/2025 9:20,5.6
2/8/2025 9:25,6.1
2/8/2025 9:30,6.6
2/8/2025 9:35,7.2
2/8/2025 9:40,7.7
2/8/2025 9:45,8.2
2/8/2025 9:50,8.8
2/8/2025 9:55,9.4
2/8/2025 10:00,7.880604592
2/8/2025 10:05,10.8
2/8/2025 10:10,9.784157481
2/8/2025 10:15,12.1
2/8/2025 10:20,10.44352608
2/8/2025 10:25,13.5
2/8/2025 10:30,14.2
2/8/2025 10:35,15
2/8/2025 10:40,15.9
2/8/2025 10:50,17.7
2/8/2025 10:55,18.6
2/8/2025 11:00,19.6
2/8/2025 11:05,20.5
2/8/2025 11:10,21.5
2/8/2025 11:15,22.5
2/8/2025 11:20,23.5
2/8/2025 11:30,25.6
2/8/2025 11:35,26.7
2/8/2025 11:40,27.7
2/8/2025 11:45,28.8
2/8/2025 11:50,29.9
2/8/2025 11:55,31
2/8/2025 12:00,25.21126739
2/8/2025 12:10,34.2
2/8/2025 12:15,35.3
2/8/2025 12:20,36.3
2/8/2025 12:25,37.3
2/8/2025 12:30,31.0056588
2/8/2025 12:35,39.5
2/8/2025 12:40,40.6
2/8/2025 12:45,41.6
2/8/2025 12:50,42.7
2/8/2025 12:55,43.7
2/8/2025 13:00,44.7
2/8/2025 13:05,45.8
2/8/2025 13:10,46.8
2/8/2025 13:15,47.8
2/8/2025 13:20,48.9
2/8/2025 13:25,49.9
2/8/2025 13:30,50.9
2/8/2025 13:35,51.9
2/8/2025 13:40,52.9
2/8/2025 13:45,53.8
2/8/2025 13:50,54.8
2/8/2025 13:55,55.7
2/8/2025 14:00,56.7
2/8/2025 14:05,57.7
2/8/2025 14:10,58.6
2/8/2025 14:15,59.6
2/8/2025 14:20,60.5
2/8/2025 14:25,61.4
2/8/2025 14:30,62.3
2/8/2025 14:35,63.1
2/8/2025 14:40,64
2/8/2025 14:50,65.8
2/8/2025 14:55,66.6
2/8/2025 15:00,67.4
2/8/2025 15:05,68.1
2/8/2025 15:10,57.47545081
2/8/2025 15:15,69.6
2/8/2025 15:20,70.1
2/8/2025 15:30,70.9
2/8/2025 15:35,71.4
2/8/2025 15:40,72
2/8/2025 15:45,72.4
2/8/2025 15:50,65.21109608
2/8/2025 15:55,73.1
2/8/2025 16:00,73.4
2/8/2025 16:10,74
2/8/2025 16:15,74.4
2/8/2025 16:20,56.47805837
2/8/2025 16:25,75.1
2/8/2025 16:30,75.4
2/8/2025 16:35,75.6
2/8/2025 16:40,75.9
2/8/2025 16:45,76.1
2/8/2025 16:50,76.3
2/8/2025 16:55,76.6
2/8/2025 17:00,76.8
2/8/2025 17:05,77
2/8/2025 17:10,77.1
2/8/2025 17:15,77.2
2/8/2025 17:20,77.3
2/8/2025 17:25,77.3
2/8/2025 17:30,77.4
2/8/2025 17:35,66.30079615
2/8/2025 17:40,77.5
2/8/2025 17:45,77.5
2/8/2025 17:50,59.41410579
2/8/2025 17:55,77.6
2/8/2025 18:00,77.6
2/8/2025 18:05,77.6
2/8/2025 18:10,77.6
2/8/2025 18:15,77.6
2/8/2025 18:20,77.6
