Update Time,Daily PV Yield (kWh)
2/2/2025 0:00,115.2
2/2/2025 6:35,0
2/2/2025 6:45,0.177777778
2/2/2025 6:50,0.177777778
2/2/2025 6:55,0.355555556
2/2/2025 7:00,0.355555556
2/2/2025 7:05,0.355555556
2/2/2025 7:10,0.533333333
2/2/2025 7:15,0.711111111
2/2/2025 7:25,0.888888889
2/2/2025 7:30,1.066666667
2/2/2025 7:35,1.244444444
2/2/2025 7:40,1.422222222
2/2/2025 7:45,1.6
2/2/2025 7:50,1.777777778
2/2/2025 7:55,1.777777778
2/2/2025 8:00,1.955555556
2/2/2025 8:05,2.133333333
2/2/2025 8:10,2.311111111
2/2/2025 8:15,2.488888889
2/2/2025 8:20,2.666666667
2/2/2025 8:25,3.022222222
2/2/2025 8:30,3.2
2/2/2025 8:35,3.555555556
2/2/2025 8:40,3.911111111
2/2/2025 8:45,4.266666667
2/2/2025 8:50,4.622222222
2/2/2025 8:55,4.977777778
2/2/2025 9:00,5.511111111
2/2/2025 9:05,6.044444444
2/2/2025 9:10,6.577777778
2/2/2025 9:15,7.111111111
2/2/2025 9:20,7.644444444
2/2/2025 9:25,8.177777778
2/2/2025 9:30,8.533333333
2/2/2025 9:35,9.066666667
2/2/2025 9:40,9.777777778
2/2/2025 9:45,10.48888889
2/2/2025 9:50,11.2
2/2/2025 9:55,11.91111111
2/2/2025 10:00,12.62222222
2/2/2025 10:05,13.33333333
2/2/2025 10:10,14.04444444
2/2/2025 10:15,14.75555556
2/2/2025 10:20,15.82222222
2/2/2025 10:25,16.88888889
2/2/2025 10:30,18.31111111
2/2/2025 10:35,19.73333333
2/2/2025 10:40,21.15555556
2/2/2025 10:45,22.57777778
2/2/2025 10:50,24
2/2/2025 11:00,27.2
2/2/2025 11:05,28.62222222
2/2/2025 11:10,30.22222222
2/2/2025 11:15,31.82222222
2/2/2025 11:20,33.6
2/2/2025 11:25,35.2
2/2/2025 11:30,36.97777778
2/2/2025 11:40,40.35555556
2/2/2025 11:45,42.13333333
2/2/2025 11:50,43.91111111
2/2/2025 11:55,45.68888889
2/2/2025 12:00,47.82222222
2/2/2025 12:05,49.6
2/2/2025 12:10,51.55555556
2/2/2025 12:15,53.68888889
2/2/2025 12:20,55.64444444
2/2/2025 12:25,57.42222222
2/2/2025 12:30,59.37777778
2/2/2025 12:35,61.33333333
2/2/2025 12:40,63.28888889
2/2/2025 12:45,65.06666667
2/2/2025 12:50,67.02222222
2/2/2025 12:55,68.97777778
2/2/2025 13:00,70.75555556
2/2/2025 13:05,72.53333333
2/2/2025 13:10,74.48888889
2/2/2025 13:15,76.44444444
2/2/2025 13:20,78.22222222
2/2/2025 13:25,79.28888889
2/2/2025 13:30,79.82222222
2/2/2025 13:35,80.71111111
2/2/2025 13:40,81.42222222
2/2/2025 13:45,82.84444444
2/2/2025 13:50,84.8
2/2/2025 13:55,85.86666667
2/2/2025 14:00,87.64444444
2/2/2025 14:05,89.42222222
2/2/2025 14:15,92.62222222
2/2/2025 14:20,94.22222222
2/2/2025 14:25,95.64444444
2/2/2025 14:30,97.24444444
2/2/2025 14:35,98.66666667
2/2/2025 14:40,100.0888889
2/2/2025 14:45,101.6888889
2/2/2025 14:55,104.5333333
2/2/2025 15:00,105.7777778
2/2/2025 15:05,107.2
2/2/2025 15:10,108.4444444
2/2/2025 15:15,109.5111111
2/2/2025 15:20,110.7555556
2/2/2025 15:25,111.8222222
2/2/2025 15:35,113.9555556
2/2/2025 15:40,114.8444444
2/2/2025 15:45,115.9111111
2/2/2025 15:50,116.8
2/2/2025 15:55,117.5111111
2/2/2025 16:00,118.4
2/2/2025 16:05,119.1111111
2/2/2025 16:10,119.6444444
2/2/2025 16:15,120.3555556
2/2/2025 16:20,120.8888889
2/2/2025 16:25,121.4222222
2/2/2025 16:30,121.7777778
2/2/2025 16:35,122.3111111
2/2/2025 16:40,122.6666667
2/2/2025 16:45,123.0222222
2/2/2025 16:50,123.3777778
2/2/2025 16:55,123.5555556
2/2/2025 17:00,123.9111111
2/2/2025 17:05,124.0888889
2/2/2025 17:10,124.4444444
2/2/2025 17:15,124.6222222
2/2/2025 17:20,124.6222222
2/2/2025 17:25,124.8
2/2/2025 17:30,124.9777778
2/2/2025 17:35,125.1555556
2/2/2025 17:40,125.1555556
2/2/2025 17:45,125.3333333
2/2/2025 17:50,125.3333333
2/2/2025 17:55,125.3333333
2/2/2025 18:00,125.5111111
2/2/2025 18:05,125.5111111
2/2/2025 18:15,125.5111111
