Update Time,Daily PV Yield (kWh)
2/2/2025 0:00,72
2/2/2025 6:35,0
2/2/2025 6:45,0.111111111
2/2/2025 6:50,0.111111111
2/2/2025 6:55,0.222222222
2/2/2025 7:00,0.222222222
2/2/2025 7:05,0.222222222
2/2/2025 7:10,0.333333333
2/2/2025 7:15,0.444444444
2/2/2025 7:25,0.555555556
2/2/2025 7:30,0.666666667
2/2/2025 7:35,0.777777778
2/2/2025 7:40,0.888888889
2/2/2025 7:45,1
2/2/2025 7:50,1.111111111
2/2/2025 7:55,1.111111111
2/2/2025 8:00,1.222222222
2/2/2025 8:05,1.333333333
2/2/2025 8:10,1.444444444
2/2/2025 8:15,1.555555556
2/2/2025 8:20,1.666666667
2/2/2025 8:25,1.888888889
2/2/2025 8:30,2
2/2/2025 8:35,2.222222222
2/2/2025 8:40,2.444444444
2/2/2025 8:45,2.666666667
2/2/2025 8:50,2.888888889
2/2/2025 8:55,3.111111111
2/2/2025 9:00,3.444444444
2/2/2025 9:05,3.777777778
2/2/2025 9:10,4.111111111
2/2/2025 9:15,4.444444444
2/2/2025 9:20,4.777777778
2/2/2025 9:25,5.111111111
2/2/2025 9:30,5.333333333
2/2/2025 9:35,5.666666667
2/2/2025 9:40,6.111111111
2/2/2025 9:45,6.555555556
2/2/2025 9:50,7
2/2/2025 9:55,7.444444444
2/2/2025 10:00,7.888888889
2/2/2025 10:05,8.333333333
2/2/2025 10:10,8.777777778
2/2/2025 10:15,9.222222222
2/2/2025 10:20,9.888888889
2/2/2025 10:25,10.55555556
2/2/2025 10:30,11.44444444
2/2/2025 10:35,12.33333333
2/2/2025 10:40,13.22222222
2/2/2025 10:45,14.11111111
2/2/2025 10:50,15
2/2/2025 11:00,17
2/2/2025 11:05,17.88888889
2/2/2025 11:10,18.88888889
2/2/2025 11:15,19.88888889
2/2/2025 11:20,21
2/2/2025 11:25,22
2/2/2025 11:30,23.11111111
2/2/2025 11:40,25.22222222
2/2/2025 11:45,26.33333333
2/2/2025 11:50,27.44444444
2/2/2025 11:55,28.55555556
2/2/2025 12:00,29.88888889
2/2/2025 12:05,31
2/2/2025 12:10,32.22222222
2/2/2025 12:15,33.55555556
2/2/2025 12:20,34.77777778
2/2/2025 12:25,35.88888889
2/2/2025 12:30,37.11111111
2/2/2025 12:35,38.33333333
2/2/2025 12:40,39.55555556
2/2/2025 12:45,40.66666667
2/2/2025 12:50,41.88888889
2/2/2025 12:55,43.11111111
2/2/2025 13:00,44.22222222
2/2/2025 13:05,45.33333333
2/2/2025 13:10,46.55555556
2/2/2025 13:15,47.77777778
2/2/2025 13:20,48.88888889
2/2/2025 13:25,49.55555556
2/2/2025 13:30,49.88888889
2/2/2025 13:35,50.44444444
2/2/2025 13:40,50.88888889
2/2/2025 13:45,51.77777778
2/2/2025 13:50,53
2/2/2025 13:55,53.66666667
2/2/2025 14:00,54.77777778
2/2/2025 14:05,55.88888889
2/2/2025 14:15,57.88888889
2/2/2025 14:20,58.88888889
2/2/2025 14:25,59.77777778
2/2/2025 14:30,60.77777778
2/2/2025 14:35,61.66666667
2/2/2025 14:40,62.55555556
2/2/2025 14:45,63.55555556
2/2/2025 14:55,65.33333333
2/2/2025 15:00,66.11111111
2/2/2025 15:05,67
2/2/2025 15:10,67.77777778
2/2/2025 15:15,68.44444444
2/2/2025 15:20,69.22222222
2/2/2025 15:25,69.88888889
2/2/2025 15:35,71.22222222
2/2/2025 15:40,71.77777778
2/2/2025 15:45,72.44444444
2/2/2025 15:50,73
2/2/2025 15:55,73.44444444
2/2/2025 16:00,74
2/2/2025 16:05,74.44444444
2/2/2025 16:10,74.77777778
2/2/2025 16:15,75.22222222
2/2/2025 16:20,75.55555556
2/2/2025 16:25,75.88888889
2/2/2025 16:30,76.11111111
2/2/2025 16:35,76.44444444
2/2/2025 16:40,76.66666667
2/2/2025 16:45,76.88888889
2/2/2025 16:50,77.11111111
2/2/2025 16:55,77.22222222
2/2/2025 17:00,77.44444444
2/2/2025 17:05,77.55555556
2/2/2025 17:10,77.77777778
2/2/2025 17:15,77.88888889
2/2/2025 17:20,77.88888889
2/2/2025 17:25,78
2/2/2025 17:30,78.11111111
2/2/2025 17:35,78.22222222
2/2/2025 17:40,78.22222222
2/2/2025 17:45,78.33333333
2/2/2025 17:50,78.33333333
2/2/2025 17:55,78.33333333
2/2/2025 18:00,78.44444444
2/2/2025 18:05,78.44444444
2/2/2025 18:15,78.44444444
